publication_number,cosine_distance,cosine_similarity
JP-S4711767-Y1,0.0,1.0
JP-S4929705-B1,0.0,1.0
JP-S5127891-Y1,0.0,1.0
JP-S493066-B1,0.0,1.0
JP-S4716526-Y1,0.0,1.0
JP-S5027195-B1,0.0,1.0
JP-S5244215-B1,0.0,1.0
JP-S4839935-B1,0.0,1.0
JP-S4934344-Y1,0.0,1.0
JP-S5024981-B1,0.0,1.0
JP-S5234754-Y1,0.0,1.0
JP-S4832257-B1,0.0,1.0
JP-S5028603-Y1,0.0,1.0
JP-S4816873-Y1,0.0,1.0
JP-S5010503-Y1,0.0,1.0
JP-S4735884-Y1,0.0,1.0
JP-S4929585-Y1,0.0,1.0
JP-S5212122-B1,0.0,1.0
JP-S489883-Y1,0.0,1.0
JP-S4842147-B1,0.0,1.0
JP-S4628897-Y1,0.0,1.0
JP-S5016624-B1,0.0,1.0
JP-S5030811-Y1,0.0,1.0
JP-S4710262-Y1,0.0,1.0
JP-S495156-B1,0.0,1.0
JP-S4721232-Y1,0.0,1.0
JP-S4821899-B1,0.0,1.0
JP-S4823426-Y1,0.0,1.0
JP-S4840904-Y1,0.0,1.0
JP-S4841881-Y1,0.0,1.0
JP-S4833951-B1,0.0,1.0
JP-S5022596-B1,0.0,1.0
JP-S5017949-B1,0.0,1.0
JP-S4922842-Y1,0.0,1.0
JP-S5034590-Y1,0.0,1.0
JP-S4913951-Y1,0.0,1.0
JP-S5212167-B1,0.0,1.0
JP-S5116746-Y1,0.0,1.0
JP-S4812167-Y1,0.0,1.0
JP-S5013915-Y1,0.0,1.0
JP-S4820260-Y1,0.0,1.0
JP-S4838111-Y1,0.0,1.0
JP-S4811276-Y1,0.0,1.0
JP-S502756-Y1,0.0,1.0
JP-S4813680-Y1,0.0,1.0
JP-S4922574-Y1,0.0,1.0
JP-S4733146-Y1,0.0,1.0
JP-S4623764-Y1,0.0,1.0
JP-S4939227-Y1,0.0,1.0
JP-S4936330-Y1,0.0,1.0
JP-S5115939-Y1,0.0,1.0
JP-S5022139-Y1,0.0,1.0
JP-S5010995-Y1,0.0,1.0
JP-S4910066-B1,0.0,1.0
JP-S4843080-B1,0.0,1.0
JP-S4835465-Y1,0.0,1.0
JP-S531337-B1,0.0,1.0
JP-S5031502-Y1,0.0,1.0
JP-S4933650-Y1,0.0,1.0
JP-S5118660-Y1,0.0,1.0
JP-S4948719-B1,0.0,1.0
JP-S4912665-Y1,0.0,1.0
JP-S4931757-Y1,0.0,1.0
JP-S478627-Y1,0.0,1.0
JP-S4940834-B1,0.0,1.0
JP-S486766-Y1,0.0,1.0
JP-S4928205-Y1,0.0,1.0
JP-S4825692-Y1,0.0,1.0
JP-S5425144-B1,0.0,1.0
JP-S5229134-B1,0.0,1.0
JP-S4516522-Y1,0.0,1.0
JP-S4812402-B1,0.0,1.0
JP-S4816944-Y1,0.0,1.0
JP-S489562-Y1,0.0,1.0
JP-S482434-Y1,0.0,1.0
JP-S482182-Y1,0.0,1.0
JP-S5030801-B1,0.0,1.0
JP-S4636893-Y1,0.0,1.0
JP-S4823717-Y1,0.0,1.0
JP-S4823936-Y1,0.0,1.0
JP-S519018-Y1,0.0,1.0
JP-S4945302-Y1,0.0,1.0
JP-S4922202-Y1,0.0,1.0
JP-S4835290-Y1,0.0,1.0
JP-S4914173-Y1,0.0,1.0
JP-S4837114-B1,0.0,1.0
JP-S494039-B1,0.0,1.0
JP-S4743146-Y1,0.0,1.0
JP-S4833372-B1,0.0,1.0
JP-S5029104-B1,0.0,1.0
JP-S6018985-B1,0.0,1.0
JP-S4740271-Y1,0.0,1.0
JP-S493043-Y1,0.0,1.0
JP-S4818240-B1,0.0,1.0
JP-S4841149-B1,0.0,1.0
JP-S4930846-Y1,0.0,1.0
JP-S4722393-Y1,0.0,1.0
JP-S5022703-B1,0.0,1.0
JP-S551772-B1,0.0,1.0
JP-S528439-B1,0.0,1.0
JP-S4923395-Y1,0.0,1.0
JP-S4826590-B1,0.0,1.0
JP-S496212-B1,0.0,1.0
JP-S4831640-Y1,0.0,1.0
JP-S4938011-B1,0.0,1.0
JP-S477542-Y1,0.0,1.0
JP-S517467-Y1,0.0,1.0
JP-S5011602-Y1,0.0,1.0
JP-S484605-Y1,0.0,1.0
JP-S4727386-Y1,0.0,1.0
JP-S4827083-B1,0.0,1.0
JP-S4814916-B1,0.0,1.0
JP-S464870-Y1,0.0,1.0
JP-S493734-Y1,0.0,1.0
JP-S4812630-Y1,0.0,1.0
JP-S465114-Y1,0.0,1.0
JP-S5016113-Y1,0.0,1.0
JP-S473259-Y1,0.0,1.0
JP-S4931496-Y1,0.0,1.0
JP-S4825731-B1,0.0,1.0
JP-S5118796-B1,0.0,1.0
JP-S4824024-B1,0.0,1.0
JP-S5112759-B1,0.0,1.0
JP-S48722-Y1,0.0,1.0
JP-S5124123-B1,0.0,1.0
JP-S4736520-Y1,0.0,1.0
JP-S5034389-B1,0.0,1.0
JP-S4821499-B1,0.0,1.0
JP-S4734925-Y1,0.0,1.0
JP-S5010215-Y1,0.0,1.0
JP-S4941925-B1,0.0,1.0
JP-S4912654-Y1,0.0,1.0
JP-S4912270-Y1,0.0,1.0
JP-S4829674-Y1,0.0,1.0
JP-S4740509-Y1,0.0,1.0
JP-S4812524-B1,0.0,1.0
JP-S4637264-Y1,0.0,1.0
JP-S5132887-Y1,0.0,1.0
JP-S48561-Y1,0.0,1.0
JP-S4818675-B1,0.0,1.0
JP-S4819042-B1,0.0,1.0
JP-S4843390-Y1,0.0,1.0
JP-S4946300-B1,0.0,1.0
JP-S493179-Y1,0.0,1.0
JP-S4634835-Y1,0.0,1.0
JP-S4828825-B1,0.0,1.0
JP-S4835062-B1,0.0,1.0
JP-S4844956-Y1,0.0,1.0
JP-S494672-Y1,0.0,1.0
JP-S4934635-B1,0.0,1.0
JP-S4724875-Y1,0.0,1.0
JP-S4929563-Y1,0.0,1.0
JP-S4940447-Y1,0.0,1.0
JP-S4910079-Y1,0.0,1.0
JP-S498119-Y1,0.0,1.0
JP-S493846-B1,0.0,1.0
JP-S4610354-Y1,0.0,1.0
JP-S4840510-B1,0.0,1.0
JP-S4811289-Y1,0.0,1.0
JP-S494371-Y1,0.0,1.0
JP-S4822109-B1,0.0,1.0
JP-S4948482-B1,0.0,1.0
JP-S4826194-B1,0.0,1.0
JP-S4727233-Y1,0.0,1.0
JP-S4720898-Y1,0.0,1.0
JP-S4918661-B1,0.0,1.0
JP-S4842281-B1,0.0,1.0
JP-S5276-B1,0.0,1.0
JP-S4844238-Y1,0.0,1.0
JP-S4824561-B1,0.0,1.0
JP-S5034236-B1,0.0,1.0
JP-S4811116-Y1,0.0,1.0
JP-S4814407-B1,0.0,1.0
JP-S5016525-Y1,0.0,1.0
JP-S4911642-B1,0.0,1.0
JP-S4912546-B1,0.0,1.0
JP-S4821744-B1,0.0,1.0
JP-S4811211-Y1,0.0,1.0
JP-S4819104-B1,0.0,1.0
JP-S5019194-B1,0.0,1.0
